No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
87,PLD,Prologis Inc.,129.73B,136.38,-2.50%,9.19B
88,MDT,Medtronic plc,129.33B,100.88,-0.20%,34.76B
89,COF,Capital One Financial Corporation,129.33B,206.89,-3.50%,32.78B
90,NEM,Newmont Corporation,128.58B,118.12,-5.20%,21.50B
91,APP,AppLovin Corporation,124.13B,366.91,-19.68%,5.48B
92,PH,Parker-Hannifin Corporation,123.97B,982.21,-1.37%,20.46B
93,BMY,Bristol-Myers Squibb Company,121.86B,59.86,-0.12%,48.19B
94,PGR,The Progressive Corporation,120.41B,205.45,-1.40%,87.64B
95,HCA,HCA Healthcare Inc.,119.65B,535.22,0.71%,75.60B
96,SPGI,S&P Global Inc.,118.67B,397.20,1.65%,15.34B
97,VRTX,Vertex Pharmaceuticals Incorporated,117.98B,465.02,0.82%,11.72B
98,CMCSA,Comcast Corporation,114.48B,31.82,-2.03%,123.71B
99,PANW,Palo Alto Networks Inc.,113.48B,162.81,-1.51%,9.56B
100,MO,Altria Group Inc.,112.49B,67.01,1.65%,20.14B
101,MCK,McKesson Corporation,112.20B,916.00,-3.90%,397.96B
102,GLW,Corning Incorporated,111.64B,131.50,-1.05%,15.63B
103,INTU,Intuit Inc.,110.74B,397.96,-0.43%,19.43B
104,SBUX,Starbucks Corporation,110.23B,96.76,-2.38%,37.70B
105,BSX,Boston Scientific Corporation,109.92B,74.12,0.88%,20.07B
106,CME,CME Group Inc.,108.77B,301.64,-0.28%,6.52B
107,NOW,ServiceNow Inc.,108.04B,103.29,2.69%,13.28B
108,ADBE,Adobe Inc.,107.76B,262.50,2.08%,23.77B
109,CRWD,CrowdStrike Holdings Inc.,103.75B,411.54,-1.03%,4.57B
110,SO,The Southern Company,101.92B,92.56,1.87%,28.91B
111,TT,Trane Technologies plc,101.91B,460.45,-2.56%,21.32B
112,UPS,United Parcel Service Inc.,100.17B,118.07,-1.61%,88.66B
113,CEG,Constellation Energy Corporation,100.05B,276.12,-0.26%,24.84B
114,CVS,CVS Health Corporation,99.14B,77.93,1.18%,399.83B
115,NOC,Northrop Grumman Corporation,98.64B,695.06,2.39%,41.95B
116,HWM,Howmet Aerospace Inc.,98.42B,244.79,6.04%,8.25B
117,DUK,Duke Energy Corporation,98.07B,126.11,0.73%,32.24B
118,WDC,Western Digital Corporation,96.32B,284.10,3.78%,10.73B
119,EQIX,Equinix Inc.,94.12B,957.87,10.41%,9.26B
120,MAR,Marriott International Inc.,94.09B,355.08,-1.02%,26.32B
121,STX,Seagate Technology Holdings plc,94.03B,431.17,5.87%,10.06B
122,WM,Waste Management Inc.,93.17B,231.01,-1.56%,25.20B
123,SNDK,Sandisk Corporation,93.01B,630.29,5.16%,8.93B
124,GD,General Dynamics Corporation,92.00B,340.75,-1.61%,52.55B
125,MMM,3M Company,91.97B,174.61,1.02%,24.95B
126,SHW,The Sherwin-Williams Company,91.83B,372.60,1.53%,23.57B
127,NKE,NIKE Inc.,90.45B,61.10,-2.00%,46.51B
128,KKR,KKR & Co. Inc.,90.14B,101.12,-3.75%,25.82B
129,RCL,Royal Caribbean Cruises Ltd.,90.03B,332.80,-0.28%,17.94B
130,USB,U.S. Bancorp,89.89B,57.83,-1.92%,26.35B
131,PNC,The PNC Financial Services Group Inc.,89.67B,229.68,-2.46%,22.32B
132,FCX,Freeport-McMoRan Inc.,89.09B,62.04,-5.22%,25.92B
133,AMT,American Tower Corporation,88.10B,188.19,4.27%,10.45B
134,FDX,FedEx Corporation,86.87B,369.46,0.63%,90.09B
135,WMB,The Williams Companies Inc.,86.87B,71.13,0.01%,11.83B
136,ITW,Illinois Tool Works Inc.,86.60B,298.51,0.15%,16.04B
137,ECL,Ecolab Inc.,85.17B,300.69,-0.94%,16.08B
138,ICE,Intercontinental Exchange Inc.,85.09B,149.83,-1.42%,9.93B
139,JCI,Johnson Controls International plc,84.81B,138.57,-1.70%,23.97B
140,ADP,Automatic Data Processing Inc.,84.54B,209.96,-3.50%,21.21B
141,CRH,CRH plc,82.34B,122.85,-3.90%,36.90B
142,EMR,Emerson Electric Co.,81.48B,144.98,-6.26%,18.19B
143,CMI,Cummins Inc.,81.35B,588.79,-1.69%,33.67B
144,SNPS,Synopsys Inc.,80.99B,423.35,-3.39%,7.05B
145,REGN,Regeneron Pharmaceuticals Inc.,80.42B,783.65,0.60%,14.34B
146,ORLY,O'Reilly Automotive Inc.,80.16B,95.21,1.17%,17.78B
147,MNST,Monster Beverage Corporation,79.30B,81.17,0.47%,7.98B
148,MDLZ,Mondelez International Inc.,79.29B,61.86,0.63%,38.54B
149,BK,The Bank of New York Mellon Corporation,79.09B,114.91,-5.58%,20.11B
150,CDNS,Cadence Design Systems Inc.,78.48B,288.33,-3.78%,5.21B
151,CTAS,Cintas Corporation,78.42B,196.10,-2.13%,10.79B
152,CL,Colgate-Palmolive Company,77.52B,96.17,0.90%,20.38B
153,PWR,Quanta Services Inc.,76.93B,515.88,-1.54%,27.19B
154,CI,The Cigna Group,76.83B,287.61,-2.42%,274.90B
155,CSX,CSX Corporation,75.78B,40.70,-1.55%,14.09B
156,SLB,SLB N.V.,75.72B,50.64,-1.78%,35.71B
157,MSI,Motorola Solutions Inc.,75.52B,453.44,7.67%,11.68B
158,CVNA,Carvana Co.,75.37B,344.14,-5.47%,18.27B
159,DELL,Dell Technologies Inc.,74.76B,112.82,-9.13%,104.09B
160,ELV,Elevance Health Inc.,74.17B,336.04,1.75%,199.13B
161,MCO,Moody's Corporation,74.05B,415.09,0.69%,7.50B
162,HLT,Hilton Worldwide Holdings Inc.,73.87B,322.17,-0.91%,4.95B
163,TDG,TransDigm Group Incorporated,73.19B,1295.97,-2.28%,9.11B
164,SPG,Simon Property Group Inc.,72.92B,191.43,-1.71%,6.36B
165,APO,Apollo Global Management Inc.,72.59B,125.37,-1.24%,31.79B
166,GM,General Motors Company,72.25B,79.93,0.14%,185.02B
167,NSC,Norfolk Southern Corporation,70.64B,314.54,-0.87%,12.18B
168,KMI,Kinder Morgan Inc.,70.50B,31.69,0.76%,16.94B
169,ABNB,Airbnb Inc.,70.31B,115.96,-3.00%,11.94B
170,WBD,Warner Bros. Discovery Inc.,69.70B,28.11,0.43%,37.86B
171,DASH,DoorDash Inc.,69.45B,161.14,-8.17%,12.64B
172,RSG,Republic Services Inc.,68.37B,220.87,-2.26%,16.50B
173,COR,Cencora Inc.,68.29B,351.06,-4.00%,325.78B
174,AEP,American Electric Power Company Inc.,67.53B,126.43,3.42%,21.88B
