No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
375,TSN,Tyson Foods Inc.,22.29B,63.31,-1.60%,55.13B
376,RL,Ralph Lauren Corporation,21.98B,363.06,0.99%,7.83B
377,LDOS,Leidos Holdings Inc.,21.92B,171.44,-0.90%,17.33B
378,PKG,Packaging Corporation of America,21.90B,245.08,0.22%,8.99B
379,NI,NiSource Inc.,21.62B,45.18,1.16%,6.64B
380,HUM,Humana Inc.,21.57B,178.83,1.96%,129.66B
381,SBAC,SBA Communications Corporation,21.23B,199.29,4.36%,2.79B
382,OMC,Omnicom Group Inc.,21.16B,67.27,-2.96%,16.07B
383,IFF,International Flavors & Fragrances Inc.,20.87B,81.50,5.89%,10.89B
384,JBHT,J.B. Hunt Transport Services Inc.,20.69B,218.72,-5.06%,12.00B
385,GPC,Genuine Parts Company,20.53B,147.61,-1.11%,24.06B
386,TROW,T. Rowe Price Group Inc.,20.36B,93.16,-0.67%,7.31B
387,DD,DuPont de Nemours Inc.,20.23B,49.43,-4.08%,6.85B
388,INCY,Incyte Corporation,20.05B,100.75,1.93%,5.14B
389,VRSN,VeriSign Inc.,20.00B,218.15,1.15%,1.66B
390,BR,Broadridge Financial Solutions Inc.,19.90B,170.47,1.74%,7.18B
391,LULU,lululemon athletica inc.,19.89B,169.53,-3.60%,11.07B
392,CHRW,C.H. Robinson Worldwide Inc.,19.82B,167.78,-14.54%,16.23B
393,SNA,Snap-on Incorporated,19.69B,378.55,-1.08%,5.16B
394,PFG,Principal Financial Group Inc.,19.68B,90.51,-2.48%,15.63B
395,LII,Lennox International Inc.,19.59B,558.55,0.19%,5.20B
396,WY,Weyerhaeuser Company,19.48B,27.04,-0.22%,6.91B
397,NTAP,NetApp Inc.,19.45B,98.22,-7.25%,6.64B
398,GPN,Global Payments Inc.,19.31B,68.97,-4.50%,10.08B
399,CNC,Centene Corporation,19.27B,39.18,-3.09%,176.15B
400,MKC,McCormick & Company Incorporated,19.23B,71.65,1.59%,6.84B
401,CSGP,CoStar Group Inc.,19.08B,45.03,-5.93%,3.06B
402,WAT,Waters Corporation,19.04B,319.83,-2.85%,3.17B
403,ZBH,Zimmer Biomet Holdings Inc.,18.87B,95.18,-0.45%,8.23B
404,EXPD,Expeditors International of Washington Inc.,18.84B,140.56,-13.18%,11.17B
405,ALB,Albemarle Corporation,18.71B,158.93,-9.41%,5.14B
406,LYB,LyondellBasell Industries N.V.,18.60B,57.78,-2.84%,37.78B
407,EVRG,Evergy Inc.,18.58B,80.69,1.74%,5.88B
408,SMCI,Super Micro Computer Inc.,18.23B,30.43,-5.02%,28.06B
409,VTRS,Viatris Inc.,18.19B,15.79,-2.11%,14.12B
410,PTC,PTC Inc.,17.94B,150.79,-3.09%,2.86B
411,LNT,Alliant Energy Corporation,17.91B,69.68,2.13%,4.27B
412,BALL,Ball Corporation,17.88B,66.72,-0.92%,13.16B
413,APTV,Aptiv PLC,17.66B,83.00,-0.91%,20.40B
414,FTV,Fortive Corporation,17.55B,56.00,-4.62%,4.16B
415,WST,West Pharmaceutical Services Inc.,17.53B,243.61,-1.04%,3.07B
416,HPQ,HP Inc.,17.32B,18.87,-4.50%,55.30B
417,TXT,Textron Inc.,17.20B,98.75,1.51%,14.80B
418,PODD,Insulet Corporation,16.96B,241.03,-3.91%,2.52B
419,ESS,Essex Property Trust Inc.,16.76B,251.36,-3.84%,1.94B
420,HOLX,Hologic Inc.,16.72B,74.91,-0.24%,4.13B
421,CDW,CDW Corporation,16.51B,126.83,-6.03%,22.42B
422,INVH,Invitation Homes Inc.,16.51B,26.84,-1.32%,2.69B
423,DECK,Deckers Outdoor Corporation,16.47B,116.02,0.57%,5.37B
424,NDSN,Nordson Corporation,16.41B,294.67,0.07%,2.79B
425,PNR,Pentair plc,16.32B,99.76,-0.76%,4.18B
426,COO,The Cooper Companies Inc.,16.01B,81.70,-1.63%,4.09B
427,MAA,Mid-America Apartment Communities Inc.,15.99B,133.44,-1.90%,2.21B
428,HII,Huntington Ingalls Industries Inc.,15.96B,406.76,3.58%,12.48B
429,MAS,Masco Corporation,15.79B,77.54,1.39%,7.56B
430,TRMB,Trimble Inc.,15.71B,66.01,1.35%,3.59B
431,MRNA,Moderna Inc.,15.67B,40.11,-0.99%,2.23B
432,J,Jacobs Solutions Inc.,15.45B,131.52,-7.61%,12.39B
433,IEX,IDEX Corporation,15.35B,205.14,-3.00%,3.46B
434,ALLE,Allegion plc,15.33B,178.20,-0.66%,3.98B
435,KIM,Kimco Realty Corporation,15.15B,22.32,1.50%,2.14B
436,AVY,Avery Dennison Corporation,15.12B,195.55,1.44%,8.86B
437,CLX,The Clorox Company,15.07B,124.64,-1.04%,6.76B
438,AKAM,Akamai Technologies Inc.,15.05B,104.61,10.35%,4.13B
439,FFIV,F5 Inc.,14.81B,262.02,-7.31%,3.14B
440,ERIE,Erie Indemnity Company,14.79B,282.94,0.87%,4.04B
441,CF,CF Industries Holdings Inc.,14.69B,94.16,-2.86%,6.74B
442,UHS,Universal Health Services Inc.,14.62B,234.05,1.18%,16.99B
443,GEN,Gen Digital Inc.,14.26B,23.55,-4.54%,4.73B
444,HAS,Hasbro Inc.,14.25B,101.57,-4.12%,4.70B
445,BF.B,Brown-Forman Corporation,14.21B,30.67,1.29%,3.89B
446,BEN,Franklin Resources Inc.,14.11B,27.09,-1.67%,8.85B
447,REG,Regency Centers Corporation,14.09B,75.63,-1.10%,1.69B
448,SWK,Stanley Black & Decker Inc.,13.89B,89.67,-0.95%,15.13B
449,UDR,UDR Inc.,13.74B,38.17,-4.02%,1.74B
450,EG,Everest Group Ltd.,13.68B,336.12,1.11%,17.54B
451,HST,Host Hotels & Resorts Inc.,13.61B,19.54,-2.10%,5.95B
452,ZBRA,Zebra Technologies Corporation,13.60B,274.15,8.57%,5.40B
453,BBY,Best Buy Co. Inc.,13.59B,64.87,-3.29%,41.83B
454,BLDR,Builders FirstSource Inc.,13.33B,120.57,-5.02%,15.65B
455,ALGN,Align Technology Inc.,13.19B,183.86,-6.91%,4.03B
456,SOLV,Solventum Corporation,13.17B,75.95,-6.80%,8.40B
457,NWS,News Corporation,13.02B,25.66,-4.11%,8.62B
458,DPZ,Domino's Pizza Inc.,12.90B,381.78,-0.58%,4.85B
459,HRL,Hormel Foods Corporation,12.89B,23.44,-2.13%,12.11B
460,GNRC,Generac Holdings Inc.,12.66B,215.73,0.34%,4.21B
461,TTD,The Trade Desk Inc.,12.64B,26.14,-4.00%,2.79B
462,NWSA,News Corporation,12.42B,22.40,-3.53%,8.62B
463,TYL,Tyler Technologies Inc.,12.35B,287.04,-15.39%,2.33B
464,GDDY,GoDaddy Inc.,11.93B,88.26,-2.69%,4.87B
465,SJM,The J. M. Smucker Company,11.84B,111.01,-0.05%,8.77B
466,PNW,Pinnacle West Capital Corporation,11.65B,97.32,1.35%,5.31B
467,IVZ,Invesco Ltd.,11.65B,26.23,-0.79%,6.38B
468,CPT,Camden Property Trust,11.61B,107.48,-2.96%,1.59B
469,AES,The AES Corporation,11.54B,16.20,-1.46%,12.09B
470,DOC,Healthpeak Properties Inc.,11.53B,16.28,-4.01%,2.82B
471,GL,Globe Life Inc.,11.47B,144.10,0.12%,5.99B
472,JKHY,Jack Henry & Associates Inc.,11.36B,157.47,-4.94%,2.46B
473,PSKY,Paramount Skydance Corporation,11.25B,10.25,-6.90%,28.73B
474,WYNN,Wynn Resorts Limited,11.10B,107.85,-6.63%,7.11B
475,IT,Gartner Inc.,11.07B,153.63,-4.89%,6.50B
476,AOS,A. O. Smith Corporation,11.01B,79.62,-0.75%,3.83B
477,RVTY,Revvity Inc.,10.84B,95.57,-5.47%,2.86B
478,TAP,Molson Coors Beverage Company,10.75B,54.38,2.08%,11.21B
479,AIZ,Assurant Inc.,10.74B,214.48,-0.71%,12.81B
480,NCLH,Norwegian Cruise Line Holdings Ltd.,10.58B,23.25,1.31%,9.69B
481,BXP,BXP Inc.,10.45B,59.07,-4.39%,3.36B
482,POOL,Pool Corporation,10.04B,269.56,-0.71%,5.29B
483,DVA,DaVita Inc.,10.01B,149.97,3.95%,13.64B
484,BAX,Baxter International Inc.,9.62B,18.71,-15.99%,11.24B
485,APA,APA Corporation,9.55B,26.92,-4.74%,9.38B
486,CAG,Conagra Brands Inc.,9.54B,19.94,-0.40%,11.23B
487,MOS,The Mosaic Company,9.45B,29.77,-4.40%,11.89B
488,TECH,Bio-Techne Corporation,9.32B,59.54,-6.16%,1.22B
489,HSIC,Henry Schein Inc.,9.23B,78.43,-3.99%,12.94B
490,SWKS,Skyworks Solutions Inc.,9.13B,60.73,-4.63%,4.05B
491,FRT,Federal Realty Investment Trust,9.09B,104.75,-2.06%,1.28B
492,EPAM,EPAM Systems Inc.,9.01B,163.12,-8.35%,5.30B
493,MGM,MGM Resorts International,8.75B,34.19,-5.97%,17.54B
494,ARE,Alexandria Real Estate Equities Inc.,8.73B,50.40,-6.25%,3.02B
495,CPB,The Campbell's Company,8.65B,29.02,-1.02%,10.16B
496,CRL,Charles River Laboratories International Inc.,7.81B,158.74,-4.36%,4.02B
497,FDS,FactSet Research Systems Inc.,7.49B,201.95,4.23%,2.36B
498,LW,Lamb Weston Holdings Inc.,6.99B,50.31,0.14%,6.47B
499,MTCH,Match Group Inc.,6.96B,29.92,-4.71%,3.49B
500,PAYC,Paycom Software Inc.,6.58B,119.76,0.88%,2.05B
501,MOH,Molina Healthcare Inc.,6.53B,126.71,3.31%,43.56B
